Indv,Stem,X,Y,X1,Y1,Species,Start,End
3341,3341,0,15,0.8,17.5,Gamblea innovans,1993,NA
3342,3342,0,15,0.8,18,Symplocos prunifolia,1993,NA
3343,3343,0,15,0.5,18,Gamblea innovans,1993,NA
3344,3344,0,15,0.2,17.9,Symplocos prunifolia,1993,NA
3345,3345,0,15,1.3,18.1,Gamblea innovans,1993,2002
3346,3346,0,15,1.4,19,Gamblea innovans,1993,1993
3347,3347,0,15,2,17.6,Symplocos prunifolia,1993,NA
3348,3348,0,15,3.3,16,Gamblea innovans,1993,1996
3349,3349,0,15,4.1,16.1,Gamblea innovans,1993,1993
3350,3350,0,15,4.9,16.6,Gamblea innovans,1993,2002
3767,3767,0,15,1.2,18.5,Gamblea innovans,1993,1996
3768,3768,0,15,4.4,15.4,Quercus glauca,1993,NA
4203,WF038,0,20,2.1,20.2,Photinia glabra,2014,NA
WF043,WF043,0,20,2,22.3,Quercus glauca,2014,NA
WF043,WF044,0,20,2,22.4,Quercus glauca,2014,NA
WF045,WF045,0,20,2.3,22.4,Quercus glauca,2014,NA
WF117,WF117,0,20,4.9,21.4,Quercus glauca,2014,NA
4111,4111,0,20,2.2,20.9,Cleyera japonica,1999,NA
4203,4203,0,20,2.1,20.1,Photinia glabra,2002,NA
4351,4351,0,20,0.8,21.9,Gamblea innovans,1993,1993
4354,4353,0,20,1.6,21.3,Ilex macropoda,1993,NA
4354,4354,0,20,1.6,21.2,Ilex macropoda,1993,1996
4355,4355,0,20,2.8,21.6,Gamblea innovans,1993,2005
4356,4356,0,20,3.9,23.1,Ilex macropoda,1993,NA
4357,4357,0,20,3.9,24.8,Lyonia ovalifolia var. elliptica,1993,1996
5367,5247,0,25,2.7,25.4,Ilex macropoda,2005,2005
5367,5248,0,25,2.7,25.4,Ilex macropoda,2005,NA
5361,5249,0,25,1.4,27,Ilex macropoda,2005,2005
5250,5250,0,25,1.7,27.4,Cleyera japonica,2005,NA
5358,5358,0,25,0.2,27,Gamblea innovans,1993,NA
5359,5359,0,25,0.6,27.4,Gamblea innovans,1993,NA
5361,5360,0,25,1.4,27,Ilex macropoda,1993,2005
5361,5361,0,25,1.4,27,Ilex macropoda,1993,2005
5362,5362,0,25,1.2,28.9,Quercus glauca,1993,NA
5367,5364,0,25,2.6,25.4,Ilex macropoda,1993,NA
5367,5365,0,25,2.7,25.4,Ilex macropoda,1993,NA
5367,5366,0,25,2.7,25.2,Ilex macropoda,1993,NA
5367,5367,0,25,2.7,25.4,Ilex macropoda,1993,NA
5367,5605,0,25,2.7,25.4,Ilex macropoda,1996,NA
5769,5769,0,25,2.6,25.6,Gamblea innovans,1993,1993
WF059,WF059,0,30,2.5,30.4,Cleyera japonica,2014,NA
WF063,WF063,0,30,1.6,32.6,Cleyera japonica,2014,NA
6112,6112,0,30,1.1,30.3,Quercus glauca,1999,NA
6113,6113,0,30,1,34.4,Cleyera japonica,1999,NA
6114,6114,0,30,3.3,33.8,Cleyera japonica,1999,NA
6112,6204,0,30,1.1,30.3,Quercus glauca,2002,NA
6251,6251,0,30,3.4,33.8,Cleyera japonica,2005,NA
6369,6369,0,30,0.6,33.1,Gamblea innovans,1993,2005
6370,6370,0,30,0.9,33.6,Ilex pedunculosa,1993,NA
6371,6371,0,30,0.9,34.5,Gamblea innovans,1993,2002
6372,6372,0,30,3.7,30.6,Symplocos prunifolia,1993,2005
6373,6373,0,30,4.3,31.9,Wisteria floribunda,1993,NA
6374,6374,0,30,3.3,31.7,Cryptomeria japonica,1993,1996
WF072,WF072,0,35,4.9,39.9,Cleyera japonica,2014,NA
7115,7115,0,35,2.8,36.3,Cleyera japonica,1999,NA
7205,7205,0,35,1.3,36.7,Cleyera japonica,2002,NA
7252,7252,0,35,1.4,36.6,Cleyera japonica,2005,2005
7253,7253,0,35,0.4,36.5,Ilex macropoda,2005,2005
8273,7272,0,35,4.6,38.2,Cleyera japonica,2005,NA
8273,7273,0,35,4.6,38.2,Cleyera japonica,2005,NA
7375,7375,0,35,0.6,35.1,Lyonia ovalifolia var. elliptica,1993,2005
7377,7377,0,35,1.5,36.4,Quercus glauca,1993,NA
7377,7378,0,35,1.6,36.5,Quercus glauca,1993,NA
7379,7379,0,35,2,36.6,Quercus glauca,1993,1993
7380,7380,0,35,0.4,37.1,Gamblea innovans,1993,1993
7381,7381,0,35,1.9,36,Symplocos prunifolia,1993,1993
7382,7382,0,35,0.3,38.6,Gamblea innovans,1993,2002
8383,8116,0,40,0.4,41.4,Gamblea innovans,1999,1999
9206,8206,0,40,2.5,41.7,Ligustrum japonicum,2002,NA
8383,8383,0,40,0.4,41.4,Gamblea innovans,1993,1999
8384,8384,0,40,1.5,43.7,Photinia glabra,1993,NA
8384,8385,0,40,1.4,43.7,Photinia glabra,1993,NA
8387,8386,0,40,2.7,43.6,Quercus glauca,1993,NA
8387,8387,0,40,2.8,43.7,Quercus glauca,1993,NA
WF079,WF079,0,45,4.9,46.3,Cleyera japonica,2014,NA
WF079,WF080,0,45,4.9,46.4,Cleyera japonica,2014,NA
9207,9207,0,45,2.2,47.2,Quercus glauca,2002,2005
9388,9388,0,45,3,47,Quercus serrata,1993,NA
9389,9389,0,45,2.9,47,Albizia julibrissin,1993,1993
9390,9390,0,45,5,49.9,Carpinus laxiflora,1993,2005
WF082,WF082,5,0,6.8,3.4,Cleyera japonica,2014,NA
WF083,WF083,5,0,6.9,3.5,Cleyera japonica,2014,NA
WF084,WF084,5,0,6.8,3.5,Cleyera japonica,2014,NA
10483,10483,5,0,5.4,3.9,Symplocos prunifolia,1993,NA
10484,10484,5,0,6.5,4.3,Symplocos prunifolia,1993,NA
10485,10485,5,0,7.9,4.8,Symplocos prunifolia,1993,NA
10486,10486,5,0,7.9,3.6,Cerasus jamasakura,1993,NA
10487,10487,5,0,9.2,4.3,Symplocos prunifolia,1993,2005
10488,10488,5,0,9.3,4.5,Symplocos prunifolia,1993,NA
10489,10489,5,0,9.9,3.5,Symplocos prunifolia,1993,1996
10490,10490,5,0,7.1,2.8,Quercus serrata,1993,2005
11478,11478,5,5,6.6,9.7,Cryptomeria japonica,1993,NA
11479,11479,5,5,7.5,7.2,Quercus glauca,1993,NA
11481,11481,5,5,8.9,5,Symplocos prunifolia,1993,2005
WF095,WF095,5,10,9.9,14.5,Quercus glauca,2014,NA
WF095,WF096,5,10,9.9,14.5,Quercus glauca,2014,NA
12461,12461,5,10,7.6,14.7,Gamblea innovans,1993,NA
12462,12462,5,10,7.6,14.5,Gamblea innovans,1993,2005
12462,12463,5,10,7.6,14.5,Gamblea innovans,1993,2005
12464,12464,5,10,7.8,14.3,Clethra barbinervis,1993,2005
12465,12465,5,10,7.1,13.9,Gamblea innovans,1993,2005
12466,12466,5,10,7.3,13.5,Gamblea innovans,1993,1993
12467,12467,5,10,6.6,12.7,Gamblea innovans,1993,1993
12468,12468,5,10,7.1,12.4,Symplocos prunifolia,1993,NA
12469,12469,5,10,6.9,12.4,Gamblea innovans,1993,2005
12470,12470,5,10,6.4,11.5,Gamblea innovans,1993,1999
12471,12471,5,10,6.4,12.3,Gamblea innovans,1993,2005
12472,12472,5,10,5.3,11.7,Gamblea innovans,1993,2005
12473,12473,5,10,5.1,11.9,Symplocos prunifolia,1993,NA
12474,12474,5,10,5.9,12.8,Gamblea innovans,1993,1996
12475,12475,5,10,8.4,10.3,Symplocos prunifolia,1993,NA
12476,12476,5,10,9.4,11,Gamblea innovans,1993,1999
12477,12477,5,10,9.6,10.9,Symplocos prunifolia,1993,2005
WF102,WF102,5,15,9.8,16.7,Photinia glabra,2014,NA
WF103,WF103,5,15,8.4,16.7,Cleyera japonica,2014,NA
WF104,WF104,5,15,7.7,16.8,Quercus glauca,2014,NA
WF106,WF106,5,15,6.1,18,Cleyera japonica,2014,NA
WF106,WF107,5,15,6.1,18.1,Cleyera japonica,2014,NA
WF114,WF114,5,15,8.7,18.6,Quercus glauca,2014,NA
WF115,WF115,5,15,5.8,16.4,Quercus glauca,2014,NA
WG679,WG679,5,15,9.2,20,Wisteria floribunda,2014,NA
13210,13210,5,15,7.6,15.1,Cleyera japonica,2002,NA
13449,13211,5,15,8.3,19.5,Quercus glauca,2002,NA
13449,13212,5,15,8.3,19.5,Quercus glauca,2002,NA
13213,13213,5,15,8.4,19.4,Cleyera japonica,2002,NA
13213,13254,5,15,8.4,19.4,Cleyera japonica,2005,NA
13255,13255,5,15,6,16.6,Wisteria floribunda,2005,NA
13449,13449,5,15,8.3,19.5,Quercus glauca,1993,NA
13450,13450,5,15,8.5,16.7,Gamblea innovans,1993,2005
13453,13451,5,15,7.7,15.8,Gamblea innovans,1993,2005
13453,13452,5,15,7.7,15.8,Gamblea innovans,1993,NA
13453,13453,5,15,7.7,15.8,Gamblea innovans,1993,2005
13453,13454,5,15,7.7,15.8,Gamblea innovans,1993,1993
13455,13455,5,15,7.6,15.2,Clethra barbinervis,1993,NA
13457,13457,5,15,5.1,15,Gamblea innovans,1993,1999
13458,13458,5,15,5.2,15.5,Gamblea innovans,1993,1996
13459,13459,5,15,5.8,18.4,Lyonia ovalifolia var. elliptica,1993,NA
13460,13460,5,15,5.8,18.9,Gamblea innovans,1993,1993
13607,13607,5,15,6.1,15.1,Symplocos prunifolia,1996,NA
WF125,WF125,5,20,7.4,22.1,Wisteria floribunda,2014,NA
WF129,WF129,5,20,7.8,24,Cleyera japonica,2014,NA
WF130,WF130,5,20,7.7,24,Cleyera japonica,2014,NA
WF132,WF132,5,20,9.9,24.1,Osmanthus heterophyllus,2014,NA
WF135,WF135,5,20,7,24.6,Eurya japonica var. japonica,2014,NA
WF136,WF136,5,20,7,23.2,Symplocos prunifolia,2014,NA
WF137,WF137,5,20,5.2,23.3,Eurya japonica var. japonica,2014,NA
14117,14117,5,20,7.2,22.2,Wisteria floribunda,1999,NA
14118,14118,5,20,7.8,24.1,Cleyera japonica,1999,NA
14443,14214,5,20,9.6,23.1,Ilex pedunculosa,2002,NA
14215,14215,5,20,9.1,23.7,Eurya japonica var. japonica,2002,2005
14256,14256,5,20,7.2,20.4,Eurya japonica var. japonica,2005,NA
14257,14257,5,20,7.8,24.8,Cleyera japonica,2005,NA
14258,14258,5,20,8.3,24.8,Symplocos prunifolia,2005,NA
14437,14437,5,20,6.1,20,Symplocos prunifolia,1993,NA
14438,14438,5,20,5.6,20.8,Gamblea innovans,1993,1993
14439,14439,5,20,6.2,21.5,Gamblea innovans,1993,NA
14440,14440,5,20,5.1,24.3,Quercus glauca,1993,NA
14442,14442,5,20,7.2,23.7,Symplocos prunifolia,1996,1999
14443,14443,5,20,9.6,23.1,Ilex pedunculosa,1993,NA
14444,14444,5,20,9.9,21,Clethra barbinervis,1993,2002
14446,14445,5,20,8.1,21.3,Gamblea innovans,1993,NA
14446,14446,5,20,8.1,21,Gamblea innovans,1993,NA
14448,14447,5,20,8.5,20,Symplocos prunifolia,1993,NA
14448,14448,5,20,8.5,20,Symplocos prunifolia,1993,NA
WF149,WF149,5,25,9.9,29.7,Eurya japonica var. japonica,2014,NA
WF154,WF154,5,25,5.8,27.8,Quercus glauca,2014,NA
WF155,WF155,5,25,5.9,27.9,Cleyera japonica,2014,NA
15119,15119,5,25,8.5,25.5,Cleyera japonica,1999,NA
15216,15216,5,25,6.2,27.8,Quercus glauca,2002,NA
15217,15217,5,25,5.1,25.3,Cleyera japonica,2002,NA
15217,15218,5,25,5.1,25.3,Cleyera japonica,2002,NA
15260,15259,5,25,6.3,27.2,Quercus glauca,2005,NA
15260,15260,5,25,6.3,27.2,Quercus glauca,2005,NA
15261,15261,5,25,8.6,25.7,Cleyera japonica,2005,NA
15261,15262,5,25,8.6,25.7,Cleyera japonica,2005,NA
15263,15263,5,25,7,30,Quercus glauca,2005,NA
15264,15264,5,25,7,30,Quercus glauca,2005,NA
15265,15265,5,25,7.7,29.9,Quercus glauca,2005,NA
16266,15266,5,25,5,28,Quercus glauca,2005,NA
16267,15267,5,25,6.3,29.8,Quercus glauca,2005,NA
15429,15429,5,25,5.5,26.2,Symplocos prunifolia,1993,NA
15431,15431,5,25,8.5,27.5,Symplocos prunifolia,1993,1996
15433,15432,5,25,7,29.7,Ilex macropoda,1993,2005
15433,15433,5,25,7,30,Ilex macropoda,1993,1999
15433,15434,5,25,7,29.7,Ilex macropoda,1993,NA
15433,15435,5,25,7,29.7,Ilex macropoda,1993,NA
15433,15436,5,25,7,29.7,Ilex macropoda,1996,2005
15606,15606,5,25,8.8,29.7,Gamblea innovans,1996,2005
WF160,WF160,5,30,9.4,33.1,Cleyera japonica,2014,NA
WF161,WF161,5,30,6.4,30.4,Quercus glauca,2014,NA
16422,WF165,5,30,5.2,33.3,Quercus glauca,2014,NA
16422,WF166,5,30,5.2,33.3,Quercus glauca,2014,NA
16424,WF171,5,30,6.4,34.3,Ilex macropoda,2014,NA
16424,WF172,5,30,6.3,34.3,Ilex macropoda,2014,NA
16426,WF175,5,30,9.4,34.6,Quercus glauca,2014,NA
16426,WF176,5,30,9.4,34.6,Quercus glauca,2014,NA
16219,16219,5,30,5,33.6,Cleyera japonica,2002,NA
16231,16231,5,30,9.6,30.7,Cleyera japonica,2002,NA
16426,16268,5,30,9.4,34.6,Quercus glauca,2005,NA
16269,16269,5,30,9.5,33.1,Cleyera japonica,2005,NA
16270,16270,5,30,8.7,31.3,Quercus glauca,2005,NA
16417,16417,5,30,5.8,30.7,Gamblea innovans,1993,NA
16418,16418,5,30,5.5,30.9,Symplocos prunifolia,1993,1999
16419,16419,5,30,5.6,31.3,Eurya japonica var. japonica,1993,NA
16420,16420,5,30,5.6,33.2,Gamblea innovans,1993,2005
16422,16421,5,30,5.2,33.4,Quercus glauca,1993,NA
16422,16422,5,30,5.2,33.4,Quercus glauca,1993,NA
16424,16423,5,30,6.4,34.5,Ilex macropoda,1993,2005
16424,16424,5,30,6.3,34.5,Ilex macropoda,1993,NA
16424,16425,5,30,6.3,34.4,Ilex macropoda,1993,NA
16426,16426,5,30,9.4,34.6,Quercus glauca,1993,NA
16427,16427,5,30,9.6,34.3,Wisteria floribunda,1993,NA
16428,16428,5,30,7.9,30.4,Symplocos prunifolia,1993,1999
WF178,WF178,5,35,5.8,36.6,Cleyera japonica,2014,NA
WF179,WF179,5,35,6.4,35.9,Quercus glauca,2014,NA
17411,WF181,5,35,8,35.8,Ilex macropoda,2014,NA
WF187,WF187,5,35,8.7,38.2,Quercus glauca,2014,NA
WF187,WF188,5,35,8.6,38.2,Quercus glauca,2014,NA
WF189,WF189,5,35,9.1,38.2,Camellia japonica,2014,NA
17604,17120,5,35,8.3,38.2,Quercus glauca,1999,NA
17121,17121,5,35,7.9,39.7,Ligustrum japonicum,1999,NA
17220,17220,5,35,8.8,35.9,Cleyera japonica,2002,NA
17271,17271,5,35,7.7,37.2,Cleyera japonica,2005,NA
17411,17411,5,35,8,35.8,Ilex macropoda,1993,NA
17412,17412,5,35,8.1,36.1,Lyonia ovalifolia var. elliptica,1993,1999
17413,17413,5,35,8.1,36.7,Wisteria floribunda,1993,NA
17414,17414,5,35,7,37.1,Gamblea innovans,1993,1996
17416,17416,5,35,5.3,35.8,Gamblea innovans,1993,2005
17604,17604,5,35,8.3,38.2,Quercus glauca,1996,NA
17416,17878,5,35,5.3,35.8,Gamblea innovans,1993,1993
17416,17879,5,35,5.3,35.8,Gamblea innovans,1993,1993
18410,WF193,5,40,6.8,40,Ilex macropoda,2014,NA
WF194,WF194,5,40,6.4,40.4,Quercus glauca,2014,NA
WF195,WF195,5,40,7.1,40.4,Quercus glauca,2014,NA
WF198,WF198,5,40,6.9,42,Cleyera japonica,2014,NA
18400,18400,5,40,5.6,42.5,Quercus glauca,1993,NA
18401,18401,5,40,5.7,44.8,Albizia julibrissin,1993,2005
18402,18402,5,40,7.4,44.5,Ilex chinensis,1993,NA
18403,18403,5,40,9,44.2,Gamblea innovans,1993,2005
18404,18404,5,40,9.1,44.6,Gamblea innovans,1993,2005
18405,18405,5,40,9.2,42.5,Symplocos prunifolia,1993,2005
18406,18406,5,40,8.8,41.6,Chengiopanax sciadophylloides,1993,2005
18407,18407,5,40,10,40.8,Ligustrum japonicum,1993,NA
18410,18408,5,40,6.9,40,Ilex macropoda,1993,NA
18410,18409,5,40,6.9,40,Ilex macropoda,1993,NA
18410,18410,5,40,6.9,40,Ilex macropoda,1993,2005
19391,19391,5,45,6.1,45.1,Albizia julibrissin,1993,2005
19392,19392,5,45,5.2,46.7,Carpinus laxiflora,1993,NA
19393,19393,5,45,5.3,47.9,Albizia julibrissin,1993,2002
19394,19394,5,45,5.6,48.9,Quercus serrata,1993,NA
19395,19395,5,45,7.2,49.8,Cerasus jamasakura,1993,NA
19397,19396,5,45,6.3,47.6,Photinia glabra,1993,1996
19397,19397,5,45,6.3,47.7,Photinia glabra,1993,2005
19397,19398,5,45,6.3,47.7,Photinia glabra,1993,1999
19399,19399,5,45,9.9,47.5,Gamblea innovans,1993,1999
20494,WF204,10,0,14.9,3.1,Ilex pedunculosa,2014,NA
WF205,WF205,10,0,13.6,3,Cleyera japonica,2014,NA
WF206,WF206,10,0,13.5,4.9,Cleyera japonica,2014,NA
20492,20492,10,0,14.1,3.9,Gamblea innovans,1993,2005
20493,20493,10,0,13.5,3.3,Symplocos prunifolia,1993,1996
20494,20494,10,0,14.9,3,Ilex pedunculosa,1993,NA
WF209,WF209,10,5,14.9,6.2,Cleyera japonica,2014,NA
WF212,WF212,10,5,12.6,9.3,Symplocos prunifolia,2014,NA
WF213,WF213,10,5,11.9,8.3,Quercus glauca,2014,NA
21130,21130,10,5,12.5,6.8,Chamaecyparis obtusa,1999,NA
21274,21274,10,5,14.1,7.6,Quercus glauca,2005,NA
21495,21495,10,5,12.4,5.8,Symplocos prunifolia,1993,2005
21497,21496,10,5,11.9,6.7,Clethra barbinervis,1993,2002
21497,21497,10,5,11.9,6.8,Clethra barbinervis,1993,2002
21497,21498,10,5,11.9,7.1,Clethra barbinervis,1993,2002
21497,21499,10,5,11.9,7.1,Clethra barbinervis,1993,1996
21497,21500,10,5,11.9,7.1,Clethra barbinervis,1993,2002
21501,21501,10,5,12,7.2,Quercus glauca,1993,1999
21502,21502,10,5,11.7,7.7,Gamblea innovans,1993,1999
21503,21503,10,5,12,9.7,Gamblea innovans,1993,2002
21504,21504,10,5,13.2,9.6,Symplocos prunifolia,1993,NA
21505,21505,10,5,13.2,9.7,Gamblea innovans,1993,2005
21506,21506,10,5,13.3,8.6,Lyonia ovalifolia var. elliptica,1993,1996
21506,21507,10,5,13.3,8.6,Lyonia ovalifolia var. elliptica,1993,1996
21509,21508,10,5,14.4,8.6,Gamblea innovans,1993,2005
21509,21509,10,5,14.4,8.6,Gamblea innovans,1993,NA
21510,21510,10,5,14.1,7.2,Lyonia ovalifolia var. elliptica,1993,1996
WF218,WF218,10,10,13.2,13.1,Cleyera japonica,2014,NA
23526,WF227,10,10,11.1,14.7,Ilex macropoda,2014,NA
22511,22511,10,10,13.5,13.8,Symplocos prunifolia,1993,NA
22512,22512,10,10,11.6,14.6,Wisteria floribunda,1993,NA
23526,22513,10,10,11.4,14.7,Ilex macropoda,1993,NA
22515,22514,10,10,11.2,14.1,Gamblea innovans,1993,NA
22515,22515,10,10,11.2,14.1,Gamblea innovans,1993,NA
23526,22516,10,10,11.2,14.6,Ilex macropoda,1993,NA
23526,22517,10,10,11.1,14.6,Ilex macropoda,1993,NA
23526,22518,10,10,11,14.7,Ilex macropoda,1993,NA
23526,22519,10,10,11,14.7,Ilex macropoda,1993,2005
22520,22520,10,10,10.2,14.3,Symplocos prunifolia,1993,2005
22521,22521,10,10,12.3,10.6,Gamblea innovans,1993,NA
22522,22522,10,10,13,10,Gamblea innovans,1993,NA
22523,22523,10,10,12.1,11.4,Wisteria floribunda,1993,NA
22524,22524,10,10,14.3,14.1,Wisteria floribunda,1993,NA
22525,22525,10,10,15,13.4,Symplocos prunifolia,1993,1999
23275,WF239,10,15,10.8,18.8,Cleyera japonica,2014,NA
WF241,WG681,10,15,14.7,19.2,Wisteria floribunda,2014,NA
23131,23131,10,15,11.6,16.1,Wisteria floribunda,1999,NA
23531,23132,10,15,13.8,15.4,Quercus glauca,1999,NA
23134,23133,10,15,12,18.3,Cleyera japonica,1999,NA
23134,23134,10,15,12,18.3,Cleyera japonica,1999,NA
23275,23275,10,15,10.8,18.7,Cleyera japonica,2005,NA
23278,23278,10,15,11.1,16.4,Wisteria floribunda,2005,NA
23279,23279,10,15,13.7,16.2,Wisteria floribunda,2005,NA
23526,23526,10,15,11.2,15.3,Ilex macropoda,1993,NA
23529,23529,10,15,11,19.1,Quercus glauca,1993,NA
23530,23530,10,15,11.2,18.8,Ilex macropoda,1993,1993
23531,23531,10,15,13.7,15.4,Quercus glauca,1993,NA
23531,23532,10,15,13.8,15.4,Quercus glauca,1993,NA
23531,23533,10,15,13.8,15.4,Quercus glauca,1993,NA
WF253,WF253,10,20,14.1,24.9,Eurya japonica var. japonica,2014,NA
24221,24221,10,20,12.5,21.7,Cleyera japonica,2002,NA
24224,24224,10,20,10,22.9,Eurya japonica var. japonica,2002,NA
24225,24225,10,20,13.7,22.7,Cleyera japonica,2002,NA
24276,24276,10,20,12.3,21.6,Wisteria floribunda,2002,NA
24540,24277,10,20,12.6,20.9,Wisteria floribunda,2002,NA
24280,24280,10,20,12.4,22.3,Quercus glauca,2005,NA
24534,24534,10,20,13.4,22.9,Symplocos prunifolia,1993,1999
24535,24535,10,20,14.3,22.3,Toxicodendron trichocarpum,1993,1993
24536,24536,10,20,14.8,21.4,Lyonia ovalifolia var. elliptica,1993,NA
24537,24537,10,20,14,21.4,Gamblea innovans,1993,NA
24537,24538,10,20,14,21.4,Gamblea innovans,1993,NA
24539,24539,10,20,13.2,21.6,Wisteria floribunda,1993,NA
24540,24540,10,20,12.4,20.9,Wisteria floribunda,1993,1999
24541,24541,10,20,13.3,21,Wisteria floribunda,1993,1999
24542,24542,10,20,12.4,20.4,Cryptomeria japonica,1993,1999
24543,24543,10,20,11.4,20.4,Cryptomeria japonica,1993,NA
24544,24544,10,20,11,20.6,Gamblea innovans,1993,2005
24544,24545,10,20,11,20.6,Gamblea innovans,1993,2005
24546,24546,10,20,11.7,22.1,Wisteria floribunda,1993,1993
24547,24547,10,20,10.8,22.8,Gamblea innovans,1993,1996
WF254,WF254,10,25,14.5,25,Eurya japonica var. japonica,2014,NA
WF255,WF255,10,25,14.5,25.2,Eurya japonica var. japonica,2014,NA
WF256,WF256,10,25,14.5,25.6,Eurya japonica var. japonica,2014,NA
25135,25135,10,25,11.8,26.5,Cleyera japonica,1999,NA
25136,25136,10,25,11.9,27,Quercus glauca,1999,NA
25553,25226,10,25,11,26.8,Ilex macropoda,2002,NA
25227,25227,10,25,10.7,26.8,Wisteria floribunda,2002,NA
25553,25281,10,25,10.8,26.8,Ilex macropoda,2005,NA
25548,25548,10,25,13.4,29.1,Symplocos prunifolia,1993,NA
25549,25549,10,25,12.8,29.8,Eurya japonica var. japonica,1993,NA
25550,25550,10,25,12.8,28.9,Gamblea innovans,1993,NA
25551,25551,10,25,11.1,27.5,Cleyera japonica,1993,NA
25553,25552,10,25,11,26.9,Ilex macropoda,1993,NA
25553,25553,10,25,11,26.8,Ilex macropoda,1993,NA
25553,25554,10,25,10.7,26.8,Ilex macropoda,1993,NA
25553,25555,10,25,10.8,26.6,Ilex macropoda,1993,1996
25881,25881,10,25,14.8,29.7,Gamblea innovans,1993,1993
WG682,WG682,10,30,13.7,31,Cleyera japonica,2014,NA
26229,26229,10,30,11.6,30,Cleyera japonica,2002,NA
26230,26230,10,30,11.4,30.8,Cleyera japonica,2002,NA
26556,26556,10,30,10.5,30.5,Toxicodendron trichocarpum,1993,2002
26557,26557,10,30,10.6,30.7,Gamblea innovans,1993,1999
26558,26558,10,30,10.1,32,Wisteria floribunda,1993,NA
26559,26559,10,30,10.8,31,Gamblea innovans,1993,1996
26560,26560,10,30,10.5,33.5,Cleyera japonica,1993,NA
26561,26561,10,30,11.2,34.7,Photinia glabra,1993,NA
26562,26562,10,30,11.3,33.8,Symplocos prunifolia,1993,2002
26563,26563,10,30,11.4,33.8,Eurya japonica var. japonica,1993,2005
26564,26564,10,30,12.6,31,Quercus glauca,1993,NA
26566,26566,10,30,12.9,30,Quercus glauca,1993,NA
26567,26567,10,30,13.5,30.4,Cleyera japonica,1993,NA
26568,26568,10,30,14.1,30,Wisteria floribunda,1993,1999
26569,26569,10,30,14.6,31,Wisteria floribunda,1993,NA
26559,26880,10,30,10.8,31,Gamblea innovans,1993,1993
WF280,WF280,10,35,11.5,38.4,Cleyera japonica,2014,NA
WF281,WF281,10,35,13.1,38.2,Photinia glabra,2014,NA
27573,WG683,10,35,11.3,36.6,Quercus glauca,2014,NA
